Title	URL	Assignees	Status	Estimated size	Real size	Labels
Validate Constraint Compliance in Solver Output (Post Google OR-Tools): First Draft 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/119	fahimu10	Feature Archive	5		
Display Daily Plan & Worker Plan as a List/Table with Export Option	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/127	jkleinau	Feature Archive	8	13	
Connect “Start Optimization” Button to Backend Optimization Trigger	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/107	jkleinau	Feature Archive	3	3	
Perform Load Testing 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/144	fahimu10	Feature Archive	3	3	
Fix HTTPS conflict issue in production	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/168	fahimu10	Feature Archive	5	5	
Refactor Distance matrix API	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/169	fahimu10	Feature Archive	2	2	
Create Space and Distinguish between Service Time and  Appointment Time in Backend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/131	SUFelix	Feature Archive	5	5	
Prepare Mid-Term Release Demo Data	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/142	SUFelix	Feature Archive	3	3	
Prepare Application for Deployment in Industry Partner's AWS Environment (Backend)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/80	fahimu10	Feature Archive	8	13	
Project Optimized Routes on the Map View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/102	jkleinau, SK-Subroto	Feature Archive	8	8	
Allow User to Uncheck Faulty Addresses and Proceed with Optimization	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/104	jkleinau	Feature Archive	5	8	
Create and Submit Build Process Video	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/115	fahimu10	Feature Archive	5	5	
